BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	cell_surface_marker_s	cell_type_s	genotype_s	source_name_s	Assay_Type_s	AssemblyName_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Library_Name_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	g1k_analysis_group_s	g1k_pop_code_s	source_s	strain_s
SAMN04909473	SRX1733616	6662	4378	SRR3457824	SRS1414850	GSM2134813	--	Leukemic cells	Mx1-cre+;Dnmt3a+/+;MSCV_FLT3-ITD-GFP	Bone marrow	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909473	SRX1733616	5151	3213	SRR3457825	SRS1414850	GSM2134813	--	Leukemic cells	Mx1-cre+;Dnmt3a+/+;MSCV_FLT3-ITD-GFP	Bone marrow	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909474	SRX1733617	2932	1848	SRR3457826	SRS1414851	GSM2134816	--	Leukemic cells	Mx1-cre+;Dnmt3af/f;MSCV_FLT3-ITD-GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909474	SRX1733617	6158	2538	SRR3457827	SRS1414851	GSM2134816	--	Leukemic cells	Mx1-cre+;Dnmt3af/f;MSCV_FLT3-ITD-GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909474	SRX1733617	4954	3278	SRR3457828	SRS1414851	GSM2134816	--	Leukemic cells	Mx1-cre+;Dnmt3af/f;MSCV_FLT3-ITD-GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909474	SRX1733617	4201	2601	SRR3457829	SRS1414851	GSM2134816	--	Leukemic cells	Mx1-cre+;Dnmt3af/f;MSCV_FLT3-ITD-GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909475	SRX1733618	3633	2345	SRR3457830	SRS1414852	GSM2134818	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909475	SRX1733618	7438	3080	SRR3457831	SRS1414852	GSM2134818	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909475	SRX1733618	5913	3920	SRR3457832	SRS1414852	GSM2134818	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909475	SRX1733618	5538	3459	SRR3457833	SRS1414852	GSM2134818	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909476	SRX1733619	5248	3323	SRR3457834	SRS1414853	GSM2134821	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909476	SRX1733619	9698	4003	SRR3457835	SRS1414853	GSM2134821	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909476	SRX1733619	6853	4547	SRR3457836	SRS1414853	GSM2134821	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
SAMN04909476	SRX1733619	6567	4083	SRR3457837	SRS1414853	GSM2134821	CD4+;CD8+	Murine thymus derived CD4/CD8 double positive T cells	Mx1-cre+;Dnmt3a+/+;MSCV_GFP	Thymus	Bisulfite-Seq	<not provided>	PRJNA319808	GEO	public	0	PAIRED	RANDOM	GENOMIC	<not provided>	2016-04-27	Mus musculus	ILLUMINA	2016-05-20	SRP074072	<not provided>	<not provided>	<not provided>	C57BL/6
